tmucodigo;tmudenominacao;tmuuf
"75930";"ICARAIMA";"PR"
"07994";"ICATU";"MA"
"64971";"ICEM";"SP"
"35670";"ICHU";"BA"
"14095";"ICO";"CE"
"56510";"ICONHA";"ES"
"16896";"IELMO MARINHO";"RN"
"64998";"IEPE";"SP"
"27618";"IGACI";"AL"
"35696";"IGAPORA";"BA"
"65013";"IGARACU DO TIETE";"SP"
"19534";"IGARACY";"PB"
"65030";"IGARAPAVA";"SP"
"46019";"IGARAPE";"MG"
"01708";"IGARAPE DO MEIO";"MA"
"08010";"IGARAPE GRANDE";"MA"
"04634";"IGARAPE-ACU";"PA"
"04650";"IGARAPE-MIRI";"PA"
"24350";"IGARASSU";"PE"
"65056";"IGARATA";"SP"
"46035";"IGARATINGA";"MG"
"32778";"IGRAPIUNA";"BA"
"27634";"IGREJA NOVA";"AL"
"87033";"IGREJINHA";"RS"
"07749";"IGUABA GRANDE";"RJ"
"35718";"IGUAI";"BA"
"65072";"IGUAPE";"SP"
"24376";"IGUARACI";"PE"
"75957";"IGUARACU";"PR"
"46051";"IGUATAMA";"MG"
"90859";"IGUATEMI";"MS"
"14117";"IGUATU";"CE"
"54674";"IGUATU";"PR"
"46078";"IJACI";"MG"
"87050";"IJUI";"RS"
"29696";"ILHA COMPRIDA";"SP"
"31534";"ILHA DAS FLORES";"SE"
"03220";"ILHA GRANDE";"PI"
"29432";"ILHA SOLTEIRA";"SP"
"65099";"ILHABELA";"SP"
"35734";"ILHEUS";"BA"
"81396";"ILHOTA";"SC"
"46094";"ILICINEA";"MG"
"87076";"ILOPOLIS";"RS"
"20354";"IMACULADA";"PB"
"81418";"IMARUI";"SC"
"08621";"IMBAU";"PR"
"72974";"IMBE";"RS"
"06262";"IMBE DE MINAS";"MG"
"81434";"IMBITUBA";"SC"
"75973";"IMBITUVA";"PR"
"81450";"IMBUIA";"SC"
"72958";"IMIGRANTE";"RS"
"08036";"IMPERATRIZ";"MA"
"75990";"INACIO MARTINS";"PR"
"00698";"INACIOLANDIA";"GO"
"24392";"INAJA";"PE"
"76015";"INAJA";"PR"
"46116";"INCONFIDENTES";"MG"
"06289";"INDAIABIRA";"MG"
"81477";"INDAIAL";"SC"
"65110";"INDAIATUBA";"SP"
"14133";"INDEPENDENCIA";"CE"
"87092";"INDEPENDENCIA";"RS"
"65137";"INDIANA";"SP"
"46132";"INDIANOPOLIS";"MG"
"79618";"INDIANOPOLIS";"PR"
"65153";"INDIAPORA";"SP"
"96814";"INDIARA";"GO"
"31550";"INDIAROBA";"SE"
"98779";"INDIAVAI";"MT"
"20370";"INGA";"PB"
"46159";"INGAI";"MG"
"24414";"INGAZEIRA";"PE"
"60518";"INHACORA";"RS"
"35750";"INHAMBUPE";"BA"
"04677";"INHANGAPI";"PA"
"27650";"INHAPI";"AL"
"46175";"INHAPIM";"MG"
"46191";"INHAUMA";"MG"
"10936";"INHUMA";"PI"
"93955";"INHUMAS";"GO"
"46213";"INIMUTABA";"MG"
"90875";"INOCENCIA";"MS"
"65170";"INUBIA PAULISTA";"SP"
"09229";"IOMERE";"SC"
"26654";"IPABA";"MG"
"93971";"IPAMERI";"GO"
"46230";"IPANEMA";"MG"
"16918";"IPANGUACU";"RN"
"12599";"IPAPORANGA";"CE"
"46256";"IPATINGA";"MG"
"65196";"IPAUCU";"SP"
"14150";"IPAUMIRIM";"CE"
"83992";"IPE";"RS"
"35777";"IPECAETA";"BA"
"65218";"IPERO";"SP"
"65234";"IPEUNA";"SP"
"46272";"IPIACU";"MG"
"35793";"IPIAU";"BA"
"08001";"IPIGUA";"SP"
"35815";"IPIRA";"BA"
"81493";"IPIRA";"SC"
"76031";"IPIRANGA";"PR"
"10952";"IPIRANGA DO PIAUI";"PI"
"73997";"IPIRANGA DO SUL";"RS"
"02399";"IPIXUNA";"AM"
"06211";"IPIXUNA DO PARA";"PA"
"24430";"IPOJUCA";"PE"
"76058";"IPORA";"PR"
"93998";"IPORA";"GO"
"99511";"IPORA DO OESTE";"SC"
"65250";"IPORANGA";"SP"
"14176";"IPU";"CE"
"65277";"IPUA";"SP"
"57371";"IPUACU";"SC"
"24457";"IPUBI";"PE"
"16934";"IPUEIRA";"RN"
"14192";"IPUEIRAS";"CE"
"00841";"IPUEIRAS";"TO"
"46299";"IPUIUNA";"MG"
"81515";"IPUMIRIM";"SC"
"35831";"IPUPIARA";"BA"
"14214";"IRACEMA";"CE"
"00329";"IRACEMA";"RR"
"54852";"IRACEMA DO OESTE";"PR"
"65293";"IRACEMAPOLIS";"SP"
"99538";"IRACEMINHA";"SC"
"87114";"IRAI";"RS"
"46310";"IRAI DE MINAS";"MG"
"35858";"IRAJUBA";"BA"
"35874";"IRAMAIA";"BA"
"98353";"IRANDUBA";"AM"
"81531";"IRANI";"SC"
"65315";"IRAPUA";"SP"
"65331";"IRAPURU";"SP"
"35890";"IRAQUARA";"BA"
"35912";"IRARA";"BA"
"55859";"IRATI";"SC"
"76074";"IRATI";"PR"
"14230";"IRAUCUBA";"CE"
"35939";"IRECE";"BA"
"76090";"IRETAMA";"PR"
"81558";"IRINEOPOLIS";"SC"
"04693";"IRITUIA";"PA"
"29319";"IRUPI";"ES"
"10979";"ISAIAS COELHO";"PI"
"94013";"ISRAELANDIA";"GO"
"81574";"ITA";"SC"
"09903";"ITAARA";"RS"
"20397";"ITABAIANA";"PB"
"31577";"ITABAIANA";"SE"
"31593";"ITABAIANINHA";"SE"
"32794";"ITABELA";"BA"
"65358";"ITABERA";"SP"
"35955";"ITABERABA";"BA"
"94030";"ITABERAI";"GO"
"31615";"ITABI";"SE"
"46337";"ITABIRA";"MG"
"46353";"ITABIRINHA DE MANTENA";"MG"
"46370";"ITABIRITO";"MG"
"58378";"ITABORAI";"RJ"
"35971";"ITABUNA";"BA"
"94056";"ITACAJA";"TO"
"46396";"ITACAMBIRA";"MG"
"46418";"ITACARAMBI";"MG"
"35998";"ITACARE";"BA"
"02410";"ITACOATIARA";"AM"
"24473";"ITACURUBA";"PE"
"73970";"ITACURUBI";"RS"
"36013";"ITAETE";"BA"
"36030";"ITAGI";"BA"
"36056";"ITAGIBA";"BA"
"36072";"ITAGIMIRIM";"BA"
"56537";"ITAGUACU";"ES"
"32816";"ITAGUACU DA BAHIA";"BA"
"58394";"ITAGUAI";"RJ"
"76112";"ITAGUAJE";"PR"
"46434";"ITAGUARA";"MG"
"99198";"ITAGUARI";"GO"
"94072";"ITAGUARU";"GO"
"94099";"ITAGUATINS";"TO"
"65374";"ITAI";"SP"
"24490";"ITAIBA";"PE"
"14257";"ITAICABA";"CE"
"10995";"ITAINOPOLIS";"PI"
"81590";"ITAIOPOLIS";"SC"
"01724";"ITAIPAVA DO GRAJAU";"MA"
"46450";"ITAIPE";"MG"
"55255";"ITAIPULANDIA";"PR"
"09911";"ITAITINGA";"CE"
"04715";"ITAITUBA";"PA"
"94110";"ITAJA";"GO"
"04189";"ITAJA";"RN"
"81612";"ITAJAI";"SC"
"65390";"ITAJOBI";"SP"
"65412";"ITAJU";"SP"
"36099";"ITAJU DO COLONIA";"BA"
"46477";"ITAJUBA";"MG"
"36110";"ITAJUIPE";"BA"
"59293";"ITALVA";"RJ"
"24511";"ITAMARACA";"PE"
"36137";"ITAMARAJU";"BA"
"46493";"ITAMARANDIBA";"MG"
"98370";"ITAMARATI";"AM"
"46515";"ITAMARATI DE MINAS";"MG"
"36153";"ITAMARI";"BA"
"46531";"ITAMBACURI";"MG"
"76139";"ITAMBARACA";"PR"
"25976";"ITAMBE";"PE"
"36170";"ITAMBE";"BA"
"76155";"ITAMBE";"PR"
"46558";"ITAMBE DO MATO DENTRO";"MG"
"46574";"ITAMOGI";"MG"
"46590";"ITAMONTE";"MG"
"36196";"ITANAGRA";"BA"
"65439";"ITANHAEM";"SP"
"46612";"ITANHANDU";"MG"
"36218";"ITANHEM";"BA"
"46639";"ITANHOMI";"MG"
"46655";"ITAOBIM";"MG"
"30538";"ITAOCA";"SP"
"58416";"ITAOCARA";"RJ"
"94137";"ITAPACI";"GO"
"14273";"ITAPAGE";"CE"
"46671";"ITAPAGIPE";"MG"
"36234";"ITAPARICA";"BA"
"36250";"ITAPE";"BA"
"36277";"ITAPEBI";"BA"
"46698";"ITAPECERICA";"MG"
"65455";"ITAPECERICA DA SERRA";"SP"
"08079";"ITAPECURU MIRIM";"MA"
"76171";"ITAPEJARA DOESTE";"PR"
"81639";"ITAPEMA";"SC"
"56553";"ITAPEMIRIM";"ES"
"54518";"ITAPERUCU";"PR"
"58432";"ITAPERUNA";"RJ"
"24538";"ITAPETIM";"PE"
"36293";"ITAPETINGA";"BA"
"65471";"ITAPETININGA";"SP"
"46710";"ITAPEVA";"MG"
"65498";"ITAPEVA";"SP"
"65510";"ITAPEVI";"SP"
"36315";"ITAPICURU";"BA"
"14290";"ITAPIPOCA";"CE"
"65536";"ITAPIRA";"SP"
"02437";"ITAPIRANGA";"AM"
"81655";"ITAPIRANGA";"SC"
"94153";"ITAPIRAPUA";"GO"
"30554";"ITAPIRAPUA PAULISTA";"SP"
"03476";"ITAPIRATINS";"TO"
"26336";"ITAPISSUMA";"PE"
"36331";"ITAPITANGA";"BA"
"14311";"ITAPIUNA";"CE"
"99856";"ITAPOA";"SC"
"65552";"ITAPOLIS";"SP"
"90891";"ITAPORA";"MS"
"94170";"ITAPORA DO TOCANTINS";"TO"
"20419";"ITAPORANGA";"PB"
"65579";"ITAPORANGA";"SP"
"31631";"ITAPORANGA DAJUDA";"SE"
"20435";"ITAPOROROCA";"PB"
"60275";"ITAPUCA";"RS"
"65595";"ITAPUI";"SP"
"65617";"ITAPURA";"SP"
"94196";"ITAPURANGA";"GO"
"65633";"ITAQUAQUECETUBA";"SP"
"36358";"ITAQUARA";"BA"
"87130";"ITAQUI";"RS"
"98078";"ITAQUIRAI";"MS"
"24554";"ITAQUITINGA";"PE"
"56570";"ITARANA";"ES"
"36374";"ITARANTIM";"BA"
"65650";"ITARARE";"SP"
"15954";"ITAREMA";"CE"
"65676";"ITARIRI";"SP"
"94218";"ITARUMA";"GO"
"60038";"ITATIAIA";"RJ"
"46736";"ITATIAIUCU";"MG"
"65692";"ITATIBA";"SP"
"87157";"ITATIBA DO SUL";"RS"
"32832";"ITATIM";"BA"
"65714";"ITATINGA";"SP"
"14338";"ITATIRA";"CE"
"20451";"ITATUBA";"PB"
"16950";"ITAU";"RN"
"57312";"ITAU DE MINAS";"MG"
"99015";"ITAUBA";"MT"
"06696";"ITAUBAL";"AP"
"94234";"ITAUCU";"GO"
"11010";"ITAUEIRA";"PI"
"46752";"ITAUNA";"MG"
"76198";"ITAUNA DO SUL";"PR"
"46779";"ITAVERAVA";"MG"
"46795";"ITINGA";"MG"
"01740";"ITINGA DO MARANHAO";"MA"
"90913";"ITIQUIRA";"MT"
"65730";"ITIRAPINA";"SP"
"65757";"ITIRAPUA";"SP"
"36390";"ITIRUCU";"BA"
"36412";"ITIUBA";"BA"
"65773";"ITOBI";"SP"
"36439";"ITORORO";"BA"
"65790";"ITU";"SP"
"36455";"ITUACU";"BA"
"36471";"ITUBERA";"BA"
"46817";"ITUETA";"MG"
"46833";"ITUIUTABA";"MG"
"94250";"ITUMBIARA";"GO"
"46850";"ITUMIRIM";"MG"
"65811";"ITUPEVA";"SP"
"04731";"ITUPIRANGA";"PA"
"81671";"ITUPORANGA";"SC"
"46876";"ITURAMA";"MG"
"46892";"ITUTINGA";"MG"
"65838";"ITUVERAVA";"SP"
"32859";"IUIU";"BA"
"56596";"IUNA";"ES"
"76210";"IVAI";"PR"
"76236";"IVAIPORA";"PR"
"99554";"IVATE";"PR"
"76252";"IVATUBA";"PR"
"90930";"IVINHEMA";"MS"
"94277";"IVOLANDIA";"GO"
"73954";"IVORA";"RS"
"87173";"IVOTI";"RS"
"24570";"JABOATAO DOS GUARARAPES";"PE"
"81698";"JABORA";"SC"
"65854";"JABORANDI";"SP"
"98590";"JABORANDI";"BA"
"76279";"JABOTI";"PR"
"73938";"JABOTICABA";"RS"
"65870";"JABOTICABAL";"SP"
"46914";"JABOTICATUBAS";"MG"
"16977";"JACANA";"RN"
"36498";"JACARACI";"BA"
"20478";"JACARAU";"PB"
"27677";"JACARE DOS HOMENS";"AL"
"06319";"JACAREACANGA";"PA"
"65897";"JACAREI";"SP"
"76295";"JACAREZINHO";"PR"
"65919";"JACI";"SP"
"90956";"JACIARA";"MT"
"46930";"JACINTO";"MG"
"81710";"JACINTO MACHADO";"SC"
"36510";"JACOBINA";"BA"
"22730";"JACOBINA DO PIAUI";"PI"
"46957";"JACUI";"MG"
"27693";"JACUIPE";"AL"
"04758";"JACUNDA";"PA"
"65935";"JACUPIRANGA";"SP"
"46973";"JACUTINGA";"MG"
"87190";"JACUTINGA";"RS"
"76317";"JAGUAPITA";"PR"
"36536";"JAGUAQUARA";"BA"
"46990";"JAGUARACU";"MG"
"87211";"JAGUARAO";"RS"
"36552";"JAGUARARI";"BA"
"57134";"JAGUARE";"ES"
"14354";"JAGUARETAMA";"CE"
"87238";"JAGUARI";"RS"
"76333";"JAGUARIAIVA";"PR"
"14370";"JAGUARIBARA";"CE"
"14397";"JAGUARIBE";"CE"
"36579";"JAGUARIPE";"BA"
"65951";"JAGUARIUNA";"SP"
"14419";"JAGUARUANA";"CE"
"81736";"JAGUARUNA";"SC"
"28932";"JAIBA";"MG"
"11037";"JAICOS";"PI"
"65978";"JALES";"SP"
"06831";"JAMARI";"RO"
"65994";"JAMBEIRO";"SP"
"26557";"JAMPRUCA";"MG"
"47015";"JANAUBA";"MG"
"94293";"JANDAIA";"GO"
"76350";"JANDAIA DO SUL";"PR"
"16993";"JANDAIRA";"RN"
"36595";"JANDAIRA";"BA"
"66010";"JANDIRA";"SP"
"17019";"JANDUIS";"RN"
"98612";"JANGADA";"MT"
"76376";"JANIOPOLIS";"PR"
"47031";"JANUARIA";"MG"
"47058";"JAPARAIBA";"MG"
"27715";"JAPARATINGA";"AL"
"31658";"JAPARATUBA";"SE"
"29130";"JAPERI";"RJ"
"17051";"JAPI";"RN"
"76392";"JAPIRA";"PR"
"31674";"JAPOATA";"SE"
"06300";"JAPONVAR";"MG"
"01619";"JAPORA";"MS"
"02453";"JAPURA";"AM"
"76414";"JAPURA";"PR"
"05487";"JAQUEIRA";"PE"
"73911";"JAQUIRANA";"RS"
"94315";"JARAGUA";"GO"
"81752";"JARAGUA DO SUL";"SC"
"90972";"JARAGUARI";"MS"
"27731";"JARAMATAIA";"AL"
"14435";"JARDIM";"CE"
"90999";"JARDIM";"MS"
"76430";"JARDIM ALEGRE";"PR"
"17078";"JARDIM DE ANGICOS";"RN"
"17094";"JARDIM DE PIRANHAS";"RN"
"09970";"JARDIM DO MULATO";"PI"
"17116";"JARDIM DO SERIDO";"RN"
"76457";"JARDIM OLINDA";"PR"
"55875";"JARDINOPOLIS";"SC"
"66036";"JARDINOPOLIS";"SP"
"09920";"JARI";"RS"
"66052";"JARINU";"SP"
"00159";"JARU";"RO"
"94331";"JATAI";"GO"
"76473";"JATAIZINHO";"PR"
"24597";"JATAUBA";"PE"
"91014";"JATEI";"MS"
"14451";"JATI";"CE"
"01767";"JATOBA";"MA"
"05509";"JATOBA";"PE"
"03247";"JATOBA DO PIAUI";"PI"
"66079";"JAU";"SP"
"03298";"JAU DO TOCANTINS";"TO"
"94358";"JAUPACI";"GO"
"89915";"JAURU";"MT"
"47074";"JECEABA";"MG"
"06327";"JENIPAPO DE MINAS";"MG"
"01783";"JENIPAPO DOS VIEIRAS";"MA"
"47090";"JEQUERI";"MG"
"05622";"JEQUIA DA PRAIA";"AL"
"36617";"JEQUIE";"BA"
"47112";"JEQUITAI";"MG"
"47139";"JEQUITIBA";"MG"
"47155";"JEQUITINHONHA";"MG"
"36633";"JEREMOABO";"BA"
"20494";"JERICO";"PB"
"66095";"JERIQUARA";"SP"
"56618";"JERONIMO MONTEIRO";"ES"
"11053";"JERUMENHA";"PI"
"47171";"JESUANIA";"MG"
"79979";"JESUITAS";"PR"
"00493";"JESUPOLIS";"GO"
"09857";"JIJOCA DE JERICOACOARA";"CE"
"00051";"JI-PARANA";"RO"
"36650";"JIQUIRICA";"BA"
"36676";"JITAUNA";"BA"
"81779";"JOACABA";"SC"
"47198";"JOAIMA";"MG"
"47210";"JOANESIA";"MG"
"66117";"JOANOPOLIS";"SP"
"24619";"JOAO ALFREDO";"PE"
"17132";"JOAO CAMARA";"RN"
"03263";"JOAO COSTA";"PI"
"17159";"JOAO DIAS";"RN"
"30996";"JOAO DOURADO";"BA"
"08095";"JOAO LISBOA";"MA"
"47236";"JOAO MONLEVADE";"MG"
"57215";"JOAO NEIVA";"ES"
"20516";"JOAO PESSOA";"PB"
"47252";"JOAO PINHEIRO";"MG"
"66133";"JOAO RAMALHO";"SP"
"47279";"JOAQUIM FELICIO";"MG"
"27758";"JOAQUIM GOMES";"AL"
"24635";"JOAQUIM NABUCO";"PE"
"11070";"JOAQUIM PIRES";"PI"
"76490";"JOAQUIM TAVORA";"PR"
"03280";"JOCA MARQUES";"PI"
"98299";"JOIA";"RS"
"81795";"JOINVILLE";"SC"
"47295";"JORDANIA";"MG"
"06530";"JORDAO";"AC"
"99570";"JOSE BOITEUX";"SC"
"66150";"JOSE BONIFACIO";"SP"
"17175";"JOSE DA PENHA";"RN"
"11096";"JOSE DE FREITAS";"PI"
"06343";"JOSE GONCALVES DE MINAS";"MG"
"06360";"JOSE RAYDAN";"MG"
"08117";"JOSELANDIA";"MA"
"06386";"JOSENOPOLIS";"MG"
"94374";"JOVIANIA";"GO"
"98191";"JUARA";"MT"
"20532";"JUAREZ TAVORA";"PB"
"03492";"JUARINA";"TO"
"26913";"JUATUBA";"MG"
"20559";"JUAZEIRINHO";"PB"
"36692";"JUAZEIRO";"BA"
"14478";"JUAZEIRO DO NORTE";"CE"
"03301";"JUAZEIRO DO PIAUI";"PI"
"14494";"JUCAS";"CE"
"22950";"JUCATI";"PE"
"32875";"JUCURUCU";"BA"
"17191";"JUCURUTU";"RN"
"98310";"JUINA";"MT"
"47333";"JUIZ DE FORA";"MG"
"03328";"JULIO BORGES";"PI"
"87254";"JULIO DE CASTILHOS";"RS"
"66176";"JULIO MESQUITA";"SP"
"08028";"JUMIRIM";"SP"
"01805";"JUNCO DO MARANHAO";"MA"
"20575";"JUNCO DO SERIDO";"PB"
"27774";"JUNDIA";"AL"
"66192";"JUNDIAI";"SP"
"76511";"JUNDIAI DO SUL";"PR"
"27790";"JUNQUEIRO";"AL"
"66214";"JUNQUEIROPOLIS";"SP"
"24651";"JUPI";"PE"
"09245";"JUPIA";"SC"
"66230";"JUQUIA";"SP"
"66257";"JUQUITIBA";"SP"
"47350";"JURAMENTO";"MG"
"84638";"JURANDA";"PR"
"24678";"JUREMA";"PE"
"03344";"JUREMA";"PI"
"20591";"JURIPIRANGA";"PB"
"20613";"JURU";"PB"
"02470";"JURUA";"AM"
"47376";"JURUAIA";"MG"
"99210";"JURUENA";"MT"
"04774";"JURUTI";"PA"
"91898";"JUSCIMEIRA";"MT"
"36714";"JUSSARA";"BA"
"76538";"JUSSARA";"PR"
"94390";"JUSSARA";"GO"
"30694";"JUSSARI";"BA"
"36730";"JUSSIAPE";"BA"
"02496";"JUTAI";"AM"
"99236";"JUTI";"MS"
"06408";"JUVENILIA";"MG"
"76554";"KALORE";"PR"
"02518";"LABREA";"AM"
"81817";"LACERDOPOLIS";"SC"
"47392";"LADAINHA";"MG"
"91030";"LADARIO";"MS"
"36757";"LAFAIETE COUTINHO";"BA"
"47414";"LAGAMAR";"MG"
"31690";"LAGARTO";"SE"
"57398";"LAGEADO GRANDE";"SC"
"32913";"LAGEDO DO TABOCAL";"BA"
"81833";"LAGES";"SC"
"08133";"LAGO DA PEDRA";"MA"
"08150";"LAGO DO JUNCO";"MA"
"01848";"LAGO DOS RODRIGUES";"MA"
"08176";"LAGO VERDE";"MA"
"20630";"LAGOA";"PB"
"09997";"LAGOA ALEGRE";"PI"
"27812";"LAGOA DA CANOA";"AL"
"03670";"LAGOA DA CONFUSAO";"TO"
"47430";"LAGOA DA PRATA";"MG"
"17230";"LAGOA DANTA";"RN"
"20656";"LAGOA DE DENTRO";"PB"
"17256";"LAGOA DE PEDRAS";"RN"
"03387";"LAGOA DE SAO FRANCISCO";"PI"
"17272";"LAGOA DE VELHOS";"RN"
"22594";"LAGOA DO BARRO DO PIAUI";"PI"
"22896";"LAGOA DO CARRO";"PE"
"24694";"LAGOA DO ITAENGA";"PE"
"01821";"LAGOA DO MATO";"MA"
"24716";"LAGOA DO OURO";"PE"
"03409";"LAGOA DO PIAUI";"PI"
"03425";"LAGOA DO SITIO";"PI"
"03530";"LAGOA DO TOCANTINS";"TO"
"24732";"LAGOA DOS GATOS";"PE"
"47457";"LAGOA DOS PATOS";"MG"
"59510";"LAGOA DOS TRES CANTOS";"RS"
"47473";"LAGOA DOURADA";"MG"
"47490";"LAGOA FORMOSA";"MG"
"29050";"LAGOA GRANDE";"MG"
"05525";"LAGOA GRANDE";"PE"
"01864";"LAGOA GRANDE DO MARANHAO";"MA"
"17299";"LAGOA NOVA";"RN"
"32891";"LAGOA REAL";"BA"
"17310";"LAGOA SALGADA";"RN"
"47511";"LAGOA SANTA";"MG"
"20672";"LAGOA SECA";"PB"
"87270";"LAGOA VERMELHA";"RS"
"73890";"LAGOAO";"RS"
"66273";"LAGOINHA";"SP"
"03360";"LAGOINHA DO PIAUI";"PI"
"81850";"LAGUNA";"SC"
"01635";"LAGUNA CARAPA";"MS"
"36773";"LAJE";"BA"
"58459";"LAJE DO MURIAE";"RJ"
"03514";"LAJEADO";"TO"
"87297";"LAJEADO";"RS"
"59838";"LAJEADO DO BUGRE";"RS"
"01880";"LAJEADO NOVO";"MA"
"36790";"LAJEDAO";"BA"
"36811";"LAJEDINHO";"BA"
"24759";"LAJEDO";"PE"
"17337";"LAJES";"RN"
"17353";"LAJES PINTADAS";"RN"
"47538";"LAJINHA";"MG"
"36838";"LAMARAO";"BA"
"47554";"LAMBARI";"MG"
"01376";"LAMBARI DOESTE";"MT"
"47570";"LAMIM";"MG"
"11118";"LANDRI SALES";"PI"
"76570";"LAPA";"PR"
"39730";"LAPAO";"BA"
"57231";"LARANJA DA TERRA";"ES"
"47597";"LARANJAL";"MG"
"55018";"LARANJAL";"PR"
"06130";"LARANJAL DO JARI";"AP"
"66290";"LARANJAL PAULISTA";"SP"
"31712";"LARANJEIRAS";"SE"
"76597";"LARANJEIRAS DO SUL";"PR"
"47619";"LASSANCE";"MG"
"20699";"LASTRO";"PB"
"81876";"LAURENTINO";"SC"
"36854";"LAURO DE FREITAS";"BA"
"81892";"LAURO MULLER";"SC"
"00868";"LAVANDEIRA";"TO"
"66311";"LAVINIA";"SP"
"47635";"LAVRAS";"MG"
"14516";"LAVRAS DA MANGABEIRA";"CE"
"87319";"LAVRAS DO SUL";"RS"
"66338";"LAVRINHAS";"SP"
"47651";"LEANDRO FERREIRA";"MG"
"81914";"LEBON REGIS";"SC"
"66354";"LEME";"SP"
"06424";"LEME DO PRADO";"MG"
"36870";"LENCOIS";"BA"
"66370";"LENCOIS PAULISTA";"SP"
"81930";"LEOBERTO LEAL";"SC"
"47678";"LEOPOLDINA";"MG"
"94439";"LEOPOLDO DE BULHOES";"GO"
"76619";"LEOPOLIS";"PR"
"87335";"LIBERATO SALZANO";"RS"
"47694";"LIBERDADE";"MG"
"36897";"LICINIO DE ALMEIDA";"BA"
"55077";"LIDIANOPOLIS";"PR"
"08192";"LIMA CAMPOS";"MA"
"47716";"LIMA DUARTE";"MG"
"66397";"LIMEIRA";"SP"
"26875";"LIMEIRA DO OESTE";"MG"
"24775";"LIMOEIRO";"PE"
"27839";"LIMOEIRO DE ANADIA";"AL"
"04790";"LIMOEIRO DO AJURU";"PA"
"14532";"LIMOEIRO DO NORTE";"CE"
"99597";"LINDOESTE";"PR"
"66419";"LINDOIA";"SP"
"99619";"LINDOIA DO SUL";"SC"
"60178";"LINDOLFO COLLOR";"RS"
"60470";"LINHA NOVA";"RS"
"56634";"LINHARES";"ES"
"66435";"LINS";"SP"
"20710";"LIVRAMENTO";"PB"
"36919";"LIVRAMENTO DE NOSSA SENHORA";"BA"
"95699";"LIZARDA";"TO"
"76635";"LOANDA";"PR"
"76651";"LOBATO";"PR"
"04820";"LOGRADOURO";"PB"
"76678";"LONDRINA";"PR"
"26956";"LONTRA";"MG"
"81957";"LONTRAS";"SC"
"66451";"LORENA";"SP"
"08214";"LORETO";"MA"
"29378";"LOURDES";"SP"
"66478";"LOUVEIRA";"SP"
"99252";"LUCAS DO RIO VERDE";"MT"
"66494";"LUCELIA";"SP"
"20737";"LUCENA";"PB"
"66516";"LUCIANOPOLIS";"SP"
"91057";"LUCIARA";"MT"
"17370";"LUCRECIA";"RN"
"66532";"LUIS ANTONIO";"SP"
"11134";"LUIS CORREIA";"PI"
"08230";"LUIS DOMINGUES";"MA"
"17396";"LUIS GOMES";"RN"
"06440";"LUISBURGO";"MG"
"06467";"LUISLANDIA";"MG"
"81973";"LUIZ ALVES";"SC"
"84816";"LUIZIANA";"PR"
"66559";"LUIZIANIA";"SP"
"47732";"LUMINARIAS";"MG"
"84590";"LUNARDELLI";"PR"
"66575";"LUPERCIO";"SP"
"76694";"LUPIONOPOLIS";"PR"
"66591";"LUTECIA";"SP"
"47759";"LUZ";"MG"
"09261";"LUZERNA";"SC"
"94455";"LUZIANIA";"GO"
"11150";"LUZILANDIA";"PI"
"00884";"LUZINOPOLIS";"TO"
"58475";"MACAE";"RJ"
"17418";"MACAIBA";"RN"
"36935";"MACAJUBA";"BA"
"09946";"MACAMBARA";"RS"
"31739";"MACAMBIRA";"SE"
"06050";"MACAPA";"AP"
"24791";"MACAPARANA";"PE"
"36951";"MACARANI";"BA"
"66613";"MACATUBA";"SP"
"17434";"MACAU";"RN"
"66630";"MACAUBAL";"SP"
"36978";"MACAUBAS";"BA"
"66656";"MACEDONIA";"SP"
"27855";"MACEIO";"AL"
"47775";"MACHACALIS";"MG"
"87351";"MACHADINHO";"RS"
"00396";"MACHADINHO DOESTE";"RO"
"47791";"MACHADO";"MG"
"24813";"MACHADOS";"PE"
"55751";"MACIEIRA";"SC"
"07765";"MACUCO";"RJ"
"36994";"MACURURE";"BA"
"12610";"MADALENA";"CE"
"03441";"MADEIRO";"PI"
"32930";"MADRE DE DEUS";"BA"
"47813";"MADRE DE DEUS DE MINAS";"MG"
"20753";"MAE DAGUA";"PB"
"05878";"MAE DO RIO";"PA"
"39756";"MAETINGA";"BA"
"81990";"MAFRA";"SC"
"04812";"MAGALHAES BARATA";"PA"
"08257";"MAGALHAES DE ALMEIDA";"MA"
"66672";"MAGDA";"SP"
"58491";"MAGE";"RJ"
"37010";"MAIQUINIQUE";"BA"
"37036";"MAIRI";"BA"
"66699";"MAIRINQUE";"SP"
"66710";"MAIRIPORA";"SP"
"94471";"MAIRIPOTABA";"GO"
"82015";"MAJOR GERCINO";"SC"
"27871";"MAJOR ISIDORO";"AL"
"04200";"MAJOR SALES";"RN"
"82031";"MAJOR VIEIRA";"SC"
"47830";"MALACACHETA";"MG"
"37052";"MALHADA";"BA"
"37079";"MALHADA DE PEDRAS";"BA"
"31755";"MALHADA DOS BOIS";"SE"
"31771";"MALHADOR";"SE"
"76716";"MALLET";"PR"
"20770";"MALTA";"PB"
"20796";"MAMANGUAPE";"PB"
"94498";"MAMBAI";"GO"
"76732";"MAMBORE";"PR"
"28959";"MAMONAS";"MG"
"09962";"MAMPITUBA";"RS"
"02534";"MANACAPURU";"AM"
"20818";"MANAIRA";"PB"
"98396";"MANAQUIRI";"AM"
"05541";"MANARI";"PE"
"02550";"MANAUS";"AM"
"01090";"MANCIO LIMA";"AC"
